age_group,diet,species,pathway,metabolite_id,metabolite_name,layer_from,layer_to,species_from,species_to,reaction_id,reaction_name,flux,abs_flux,role
81_plus,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,hxan(e),Hypoxanthine,environment,organism_exchange,,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,EX_hxan(e),Hypoxanthine exchange,2.1806184794117143,2.1806184794117143,environment_exchange
81_plus,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,hxan(e),Hypoxanthine,organism_exchange,shared_metabolite,Parabacteroides_merdae_ATCC_43184_AGORA1_03,,EX_hxan(e),Hypoxanthine exchange,-10.709142304080371,10.709142304080371,organism_secretion
81_plus,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,hxan(e),Hypoxanthine,organism_exchange,organism_exchange,Parabacteroides_merdae_ATCC_43184_AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,,Cross-feeding candidate via Hypoxanthine,2.1806184794117143,2.1806184794117143,crossfeeding_candidate
81_plus,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,hxan(e),Hypoxanthine,shared_metabolite,organism_exchange,,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,EX_hxan(e),Hypoxanthine exchange,2.1806184794117143,2.1806184794117143,organism_uptake
81_plus,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,hxan(e),Hypoxanthine,organism_exchange,species_internal,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,ADK1,Adenylate Kinase,-1000.0,1000.0,internal_processing
81_plus,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,hxan(e),Hypoxanthine,organism_exchange,species_internal,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,NDPK1,Nucleoside-Diphosphate Kinase (ATP:GDP),1000.0,1000.0,internal_processing
81_plus,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,hxan(e),Hypoxanthine,organism_exchange,species_internal,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,ADK10,adenylate kinase (dTTP),-1000.0,1000.0,internal_processing
81_plus,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,hxan(e),Hypoxanthine,organism_exchange,species_internal,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,NDPK6,Nucleoside-Diphosphate Kinase (ATP:dUDP),1000.0,1000.0,internal_processing
81_plus,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,hxan(e),Hypoxanthine,organism_exchange,species_internal,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,NDPK2,Nucleoside-Diphosphate Kinase (ATP:UDP),1000.0,1000.0,internal_processing
81_plus,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,hxan(e),Hypoxanthine,organism_exchange,species_internal,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,NDPK7,Nucleoside-Diphosphate Kinase (ATP:dCDP),1000.0,1000.0,internal_processing
